name,id,numeric_id,variant_group,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,pax_special,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,gameplay_text,brake_text,additional_text,has_aged_variant
Bogie bolster wagon,bogie_bolster,64,,1056,FEAT_TRAINS,wagon,wagon,RAIL,1916,,1965,,,,,,,,,,,14,,4,,,45,72,,,15.2,15.2,,,42,152x0x0,9,,"2,5,2",,,,,,,,,,30,57,,,9,0,0,0.98,7,1,0.45,10,30,$625,$82,,,,,,,,,1,185,,Bolster,WOOD,edw,Flat Wagon,edw_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"Bolster wagons were some of the earliest goods vehicles to use bogies rather than fixed axles. The wooden bolsters running across the wagon made long, rigid loads easy to tie down.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}Bolster wagons were some of the earliest goods vehicles to use bogies rather than fixed axles. The wooden bolsters running across the wagon made long, rigid loads easy to tie down.",
LMS double bolster,double_bolster,66,,1057,FEAT_TRAINS,wagon,wagon,RAIL,1925,,1970,,,,,,,,,,,7,,3,,,50,80,,,10,10,,,30,102x0x0,6,,"2,2,2",,,,,,,,,,30,53,,,10,0,0,0.97,5,1,0.45,9,29,$563,$79,,,,,,,,,1,185,,Bolster,WOOD,big4,Flat Wagon,big4_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"The LMS built double bolsters to carry welded rail, with single rails laid across multiple bolster wagons.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}The LMS built double bolsters to carry welded rail, with single rails laid across multiple bolster wagons.",
"YMO ""Salmon"" bolster wagon",salmon_bolster,68,,1058,FEAT_TRAINS,wagon,wagon,RAIL,1949,,2010,,,,,,,,,,,16,,5,,,60,96,,,15.8,19.8,,,57,198x0x0,12,,"4,4,4",,,,,,,,,,30,69,,,12,0,0,0.93,9.5,1,0.45,12,34,$750,$93,,,,,,,,,1,185,,Bolster,WOOD,ebr,Flat Wagon,ebr_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The ""Salmon"" wagons were built in large quantities in the early 1950s, and lasted well into privatisation. Real-life versions suffered bearing problems and were only able to run at 50 or 40mph until being refitted around the turn of the century.",,,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The ""Salmon"" wagons were built in large quantities in the early 1950s, and lasted well into privatisation. Real-life versions suffered bearing problems and were only able to run at 50 or 40mph until being refitted around the turn of the century.",
"BR ""Lowmac""",br_lowmac,69,,1059,FEAT_TRAINS,wagon,wagon,RAIL,1952,,1985,,,,,,,,,,,9,,4,,,60,96,,,11,11,,,24,102x0x0,6,,"2,2,2",,,,,,,,,,30,41,,,12,0,0,0.93,4,1,0.45,9,28,$563,$76,,,,,,,,,1,185,,Bolster,WOOD,ebr,Flat Wagon,ebr_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"""Lowmac"" was a GWR code for a low wagon intended to fit tall, bulky cargo within the railway loading gauge. BR built a number of small Lowmac types in the early 1950s.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}""Lowmac"" was a GWR code for a low wagon intended to fit tall, bulky cargo within the railway loading gauge. BR built a number of small Lowmac types in the early 1950s.",
BDA bolster wagon,bda_bolster,70,,1060,FEAT_TRAINS,wagon,wagon,RAIL,1975,,,,,,,,,,,,,16,,4,,,70,112,,,15.8,15.8,,,45,152x0x0,9,,"2,5,2",,,,,,,,,,30,,,,14,0,0,0.90,7.5,1,0.45,12,32,$750,$87,,,,,,,,,1,185,,Bolster,WOOD,lbr,Flat Wagon,lbr_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"In the 1970s BR found itself with a large number of wagons that still had useful service life, but were incompatible with the air braked standard employed across the network. Refurbishing them with air brakes and new bogies produced wagons such as the BDA.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}In the 1970s BR found itself with a large number of wagons that still had useful service life, but were incompatible with the air braked standard employed across the network. Refurbishing them with air brakes and new bogies produced wagons such as the BDA.",
"YKA ""Osprey"" bolster wagon",osprey_bolster,72,,1061,FEAT_TRAINS,wagon,wagon,RAIL,2009,,,,,,,,,,,,,16,,4,,,85,136,,,15.8,19.8,,,60,198x0x0,12,,"4,4,4",,,,,,,,,,30,,,,17,0,0,0.85,10,1,0.45,13,35,$813,$96,,,,,,,,,1,185,,Bolster,WOOD,mod,Flat Wagon,mod_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"Despite the age of the ""Salmon"" bolster wagons, in 2009 they were refurbished with new end plates to make loading track panels simpler.",,,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}Despite the age of the ""Salmon"" bolster wagons, in 2009 they were refurbished with new end plates to make loading track panels simpler.",
"FEA-W ""Supertench"" bolster wagon",fea_bolster,74,,1062,FEAT_TRAINS,wagon,wagon,RAIL,2020,,,,,,,,,,,,,15,,4,,,85,136,,,15.8,19.8,,,60,198x0x0,12,,"4,4,4",,,,,,,,,,30,,-2,2,17,0,0,0.84,10,1,0.45,15,33,$938,$90,,,,,,,,,1,185,,Bolster,WOOD,mod,Flat Wagon,mod_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,"The FEA-W is a modular wagon built by Wascosa, based on a strong metal spine which can be topped by a variety of modules for different purposes.",,,"{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The FEA-W is a modular wagon built by Wascosa, based on a strong metal spine which can be topped by a variety of modules for different purposes.",
BAA steel wagon,baa_steel_wagon,80,,1063,FEAT_TRAINS,wagon,wagon,RAIL,1972,,,,,,,,,,,,,17,,5,,,70,112,,,13.3,13.3,,,42,136x0x0,8,,"2,4,2",,,,,,,,,,30,,,,14,0,0,0.90,7,1,0.45,11,32,$688,$87,,,,,,,,,1,185,,Steel,STEL,lbr,Flat Wagon,lbr_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,"BAA wagons could initially carry steel in a large variety of forms, although many were later modified to be dedicated coil carriers.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}BAA wagons could initially carry steel in a large variety of forms, although many were later modified to be dedicated coil carriers.",
"BYA ""Nissen Hut"" steel wagon",bya_steel_wagon,82,,1064,FEAT_TRAINS,wagon,wagon,RAIL,1998,,,,,,,,,,,,,24,,8,,,85,136,,,18.6,18.6,,,78,186x0x0,11,,"4,3,4",,,,,,,,,,30,,,,17,0,0,0.87,13,1,0.45,15,39,$938,$106,,,,,,,,,1,185,,Steel,STEL,prv,Flat Wagon,prv_Flat Wagon,wagon_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},,,The BYA/BRA covered steel carriers gained their name from the corrugated sliding cover and its curved cross section.,,,{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}The BYA/BRA covered steel carriers gained their name from the corrugated sliding cover and its curved cross section.,1
Four-wheel tank wagon,four_wheel_tanker,93,,1065,FEAT_TRAINS,wagon,wagon,RAIL,1860,,1922,,,,,,,,,,,5,,2,,,35,56,,,4.9,6,,,15,60x0x0,4,,"1,2,1",,,,,,,,,,30,70,,,7,0,0,1.00,2.5,1,0.45,7,24,$438,$66,,,,,,,,,1,185,,Tanker,OIL_,vct,Tanker,vct_Tanker,wagon_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,Early four wheel tank wagons are limited to low speeds by their construction and primitive suspension.,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Early four wheel tank wagons are limited to low speeds by their construction and primitive suspension.,
Cylindrical tank wagon,cylinder_tank,94,,1066,FEAT_TRAINS,wagon,wagon,RAIL,1901,,1939,,,,,,,,,,,10,,3,,,45,72,,,8,8,,,21,82x0x0,5,,"2,1,2",,,,,,,,,,30,46,,,9,0,0,1.00,3.5,1,0.45,8,27,$500,$74,,,,,,,,,1,185,,Tanker,OIL_,edw,Tanker,edw_Tanker,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"The GWR's cylindrical tank wagons were built by the Locomotive department, as the iron cylinders used similar techniques to steam engines.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}The GWR's cylindrical tank wagons were built by the Locomotive department, as the iron cylinders used similar techniques to steam engines.",
Six wheeled tank wagon,six_wheel_tanker,96,,1067,FEAT_TRAINS,wagon,wagon,RAIL,1928,,1975,,,,,,,,,,,11,,3,,,50,80,,,8,8,,,27,82x0x0,5,,"2,1,2",,,,,,,,,,30,55,,,10,0,0,0.96,4.5,1,0.45,9,28,$563,$76,,,,,,,,,1,185,,Tanker,OIL_,big4,Tanker,big4_Tanker,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"Six wheeled tank wagons formed the core of the GWR (and later BR) ""milk trains"", long freight consists transporting milk from farms to cities.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Six wheeled tank wagons formed the core of the GWR (and later BR) ""milk trains"", long freight consists transporting milk from farms to cities.",1
TTA tank wagon,tta_tanker,97,,1068,FEAT_TRAINS,wagon,wagon,RAIL,1966,,,,,,,,,,,,,12,,4,,,65,104,,,9.8,9.8,,,33,102x0x0,6,,"2,2,2",,,,,,,,,,30,,,,13,0,0,0.91,5.5,1,0.45,10,30,$625,$82,,,,,,,,,1,185,,Tanker,OIL_,dsl,Tanker,dsl_Tanker,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"TTA tankers were constructed on ""monobloc"" principles and featured automatic braking.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}TTA tankers were constructed on ""monobloc"" principles and featured automatic braking.",1
TEA tank wagon,tea_tanker,99,,1069,FEAT_TRAINS,wagon,wagon,RAIL,1970,,,,,,,,,,,,,24,,5,,,70,112,,,17.7,17.7,,,78,164x0x0,10,,"4,2,4",,,,,,,,,,30,,,,14,0,0,0.91,13,1,0.45,14,38,$875,$104,,,,,,,,,1,185,,Tanker,OIL_,lbr,Tanker,lbr_Tanker,wagon_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},,,Large bogie tankers allowed for carrying heavy loads of liquids at high speeds. The long frames allow tanks to take up more space without fouling axles.,,,{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}Large bogie tankers allowed for carrying heavy loads of liquids at high speeds. The long frames allow tanks to take up more space without fouling axles.,1
Livestock van,livestock_van,100,,1070,FEAT_TRAINS,wagon,wagon,RAIL,1850,,1925,,,,,,,,,,,8,,3,,,40,64,,,6,6,,,18,60x0x0,4,,"1,2,1",,,,,,,,,,30,83,,,8,0,0,1.00,3,1,0.45,7,26,$438,$71,,,,,,,,,1,185,,Livestock,LVST,vct,Van,vct_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,"Livestock traffic was common early on in railway history, with specialised cattle wagons and stations equipped to handle loading and unloading.",,,"{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Livestock traffic was common early on in railway history, with specialised cattle wagons and stations equipped to handle loading and unloading.",
30ft Livestock van,livestock_van_30ft,101,,1071,FEAT_TRAINS,wagon,wagon,RAIL,1905,,1955,,,,,,,,,,,10,,3,,,45,72,,,8.9,8.9,,,24,82x0x0,5,,"2,1,2",,,,,,,,,,30,58,,,9,0,0,0.99,4,1,0.45,8,27,$500,$74,,,,,,,,,1,185,,Livestock,LVST,edw,Van,edw_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,Livestock vans evolved along with improvements in covered van design.,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Livestock vans evolved along with improvements in covered van design.,
SCV cattle van,livestock_van_scv,102,,1072,FEAT_TRAINS,wagon,wagon,RAIL,1930,,1975,,,,,,,,,,,10,,3,,,50,80,,,8.9,8.9,,,24,82x0x0,5,,"2,1,2",,,,,,,,,,30,53,,,10,0,0,0.96,4,1,0.45,9,27,$563,$74,,,,,,,,,1,185,,Livestock,LVST,big4,Van,big4_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"Specialised cattle vans such as this Southern Railway example were built from the 1930s to the 1950s, although livestock traffic reduced in the latter part of this period.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Specialised cattle vans such as this Southern Railway example were built from the 1930s to the 1950s, although livestock traffic reduced in the latter part of this period.",
35ft livestock van,livestock_van_35ft,103,,1073,FEAT_TRAINS,wagon,wagon,RAIL,1960,,2000,,,,,,,,,,,14,,4,,,65,104,,,10.6,10.6,,,39,102x0x0,6,,"2,2,2",,,,,,,,,,30,48,,,13,0,0,0.92,6.5,1,0.45,11,31,$688,$85,,,,,,,,!param_no_gameplay_units,1,185,,Livestock,LVST,dsl,Van,dsl_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"In reality by the 1960s cattle traffic on the railways had heavily declined with few stations still equipped to handle livestock, and eventually ceased altogether. This wagon represents a plausible development had mainline livestock traffic continued.",{GREEN}Included for gameplay purposes,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}In reality by the 1960s cattle traffic on the railways had heavily declined with few stations still equipped to handle livestock, and eventually ceased altogether. This wagon represents a plausible development had mainline livestock traffic continued.{}{}{GREEN}Included for gameplay purposes",1
40ft livestock van,livestock_van_40ft,104,,1074,FEAT_TRAINS,wagon,wagon,RAIL,1990,,,,,,,,,,,,,16,,4,,,75,120,,,12.2,12.2,,,39,120x0x0,7,,"2,3,2",,,,,,,,,,30,,,,15,0,0,0.88,6.5,1,0.45,11,32,$688,$87,,,,,,,,!param_no_gameplay_units,1,185,,Livestock,LVST,lbr,Van,lbr_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,"Although there is no modern livestock traffic on railways in the UK, other countries have continued to build livestock wagons. This wagon is representative of contemporary livestock transport, if it were built to British loading gauge.",{GREEN}Included for gameplay purposes,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Although there is no modern livestock traffic on railways in the UK, other countries have continued to build livestock wagons. This wagon is representative of contemporary livestock transport, if it were built to British loading gauge.{}{}{GREEN}Included for gameplay purposes",1
Covered wagon,covered_wagon,110,,1075,FEAT_TRAINS,wagon,wagon,PLATEWAY,1700,,1875,,,,,,,,,,,3,,2,,,35,56,,,6,6,,,15,60x0x0,4,,"1,2,1",,,,,,,,,,30,183,-15,-2,7,0,0,1.00,2.5,1,0.45,5,9,$313,$25,,,,,,,,,1,185,,Van,GOOD,early,Van,early_Van,wagon_PLATEWAY,{BLACK}Length: {GOLD}0.3 tiles{},,,Simple canvas-covered wagons were some of the earliest vehicles for moving piece goods which needed to be sheltered from the elements.,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Simple canvas-covered wagons were some of the earliest vehicles for moving piece goods which needed to be sheltered from the elements.,
Wooden-framed van,wooden_van,112,,1076,FEAT_TRAINS,wagon,wagon,RAIL,1850,,1930,,,,,,,,,,,6,,3,,,45,72,,,6,6,,,18,60x0x0,4,,"1,2,1",,,,,,,,,,30,88,,,9,0,0,1.00,3,1,0.45,8,27,$500,$74,,,,,,,,,1,185,,Van,GOOD,vct,Van,vct_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,"Piece goods were an important source of revenue for early railways, with most building large quantities of covered vans.",,,"{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Piece goods were an important source of revenue for early railways, with most building large quantities of covered vans.",
Iron-framed van,iron_van,114,,1077,FEAT_TRAINS,wagon,wagon,RAIL,1902,,1960,,,,,,,,,,,7,,3,,,50,80,,,8,8,,,24,82x0x0,5,,"2,1,2",,,,,,,,,,30,66,,,10,0,0,1.00,4,1,0.45,9,28,$563,$76,,,,,,,,,1,185,,Van,GOOD,edw,Van,edw_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"This goods van uses an iron frame with a wooden body, making it stronger than earlier wooden-framed vans.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}This goods van uses an iron frame with a wooden body, making it stronger than earlier wooden-framed vans.",
Fitted van,fitted_van,116,,1078,FEAT_TRAINS,wagon,wagon,RAIL,1932,,1970,,,,,,,,,,,8,,3,,,60,96,,,8,8,,,27,82x0x0,5,,"2,1,2",,,,,,,,,,30,46,,,12,0,0,0.96,4.5,1,0.45,10,30,$625,$82,,,,,,,,,1,185,,Van,GOOD,big4,Van,big4_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"Fitted vans had brakes which could be controlled from the locomotive or a brake van, allowing higher braking force and thus speed. This example is typical of a Southern Railways vacuum-braked model.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Fitted vans had brakes which could be controlled from the locomotive or a brake van, allowing higher braking force and thus speed. This example is typical of a Southern Railways vacuum-braked model.",
"VWV ""Vanwide"" van",vanwide_van,118,,1079,FEAT_TRAINS,wagon,wagon,RAIL,1962,,1985,,,,,,,,,,,8,,4,,,65,104,,,8,8,,,27,82x0x0,5,,"2,1,2",,,,,,,,,,30,31,,,13,0,0,0.92,4.5,1,0.45,10,29,$625,$79,,,,,,,,,1,185,,Van,GOOD,dsl,Van,dsl_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"The Vanwide was BR's final development of the traditional van design, featuring wider doors for increased loading speed.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}The Vanwide was BR's final development of the traditional van design, featuring wider doors for increased loading speed.",1
VDA van,vda_van,121,,1080,FEAT_TRAINS,wagon,wagon,RAIL,1969,,2010,,,,,,,,,,,16,,4,,,75,120,,,11.2,11.2,,,39,120x0x0,7,,"2,3,2",,,,,,,,,,30,49,,,15,0,0,0.91,6.5,1,0.45,12,33,$750,$90,,,,,,,,,1,185,,Van,GOOD,dsl,Van,dsl_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,"The VDA was BR's first air braked general purpose van, later used for the Speedlink freight network.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}The VDA was BR's first air braked general purpose van, later used for the Speedlink freight network.",1
VEA van,vea_van,123,,1081,FEAT_TRAINS,wagon,wagon,RAIL,1978,,,,,,,,,,,,,8,,4,,,75,120,,,8,8,,,27,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,15,0,0,0.90,4.5,1,0.45,11,30,$688,$82,,,,,,,,,1,185,,Van,GOOD,lbr,Van,lbr_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"VEA vans were refurbished vans fitted with improved suspension and air brakes, allowing higher speed operation while still being suitable for narrow radius curves in small yards.",,,"{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}VEA vans were refurbished vans fitted with improved suspension and air brakes, allowing higher speed operation while still being suitable for narrow radius curves in small yards.",1
VGA van,vga_van,125,,1082,FEAT_TRAINS,wagon,wagon,RAIL,1982,,,,,,,,,,,,,21,,6,,,85,136,,,12.8,12.8,,,45,136x0x0,8,,"2,4,2",,,,,,,,,,30,,,,17,0,0,0.89,7.5,1,0.45,13,35,$813,$96,,,,,,,,,1,185,,Van,GOOD,lbr,Van,lbr_Van,wagon_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,"VGA vans followed continental practice with doors extending into the roof panel, providing a larger vertical opening.",,,"{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}VGA vans followed continental practice with doors extending into the roof panel, providing a larger vertical opening.",1
"GWR ""Siphon G"" van",siphon_van,131,,1083,FEAT_TRAINS,wagon,wagon,RAIL,1913,1955,1965,,,,,,,,,,,20,,4,,,70,112,,,15,15,,,60,152x0x0,9,,"2,5,2",,,,,,,,,,30,60,25,8,14,0,0,0.98,10,1,0.45,22,63,"$1,375",$172,,,,,,,,,1,185,,Siphon,MAIL,edw,Mail Carriage,edw_Mail Carriage,wagon_RAIL,{BLACK}Length: {GOLD}0.6 tiles{},,,"GWR's ""Siphon"" vans were built to carry loads of milk churns at passenger train speeds. They were also used for parcel and newspaper traffic, the basic design being built well into the BR era.",,,"{BLACK}Length: {GOLD}0.6 tiles{}{SILVER}GWR's ""Siphon"" vans were built to carry loads of milk churns at passenger train speeds. They were also used for parcel and newspaper traffic, the basic design being built well into the BR era.",
Parcels van,parcels_van,133,,1084,FEAT_TRAINS,wagon,wagon,RAIL,1950,,1975,,,,,,,,,,,18,,4,,,80,128,,,11.2,11.2,,,45,120x0x0,7,,"2,3,2",,,,,,,,,,30,33,25,9,16,0,0,0.93,7.5,1,0.45,22,60,"$1,375",$164,,,,,,,,,1,185,,Parcel,MAIL,ebr,Mail Carriage,ebr_Mail Carriage,wagon_RAIL,{BLACK}Length: {GOLD}0.5 tiles{},,,BR built several of these six-wheeled parcels vans in the early 1950s.,,,{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}BR built several of these six-wheeled parcels vans in the early 1950s.,
Brake wagon,brake_wagon_early,600,,1085,FEAT_TRAINS,wagon,brake,PLATEWAY,1700,,1860,,,,,,,,,,,5,,,,,39,62,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,168,,,7.8,0,0,1.00,0,1,0.4,5,22,$313,$60,,,,,,,,,7,,,Brakevan,BRAKE,early,Extra,early_Extra,brake_PLATEWAY,{BLACK}Length: {GOLD}0.3 tiles{},,,Early brake wagons were little more than open wagons with basic friction brakes added.,,{YELLOW}Speed bonus for slow wagons{},{BLACK}Length: {GOLD}0.3 tiles{}{YELLOW}Speed bonus for slow wagons{}{SILVER}Early brake wagons were little more than open wagons with basic friction brakes added.,
10t brake van,brake_van_10t,601,,1086,FEAT_TRAINS,wagon,brake,RAIL,1850,,1910,,,,,,,,,,,10,,,,,50,80,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,68,,,10,0,0,1.00,0,1,0.4,6,25,$375,$68,,,,,,,,,7,,,Brakevan,BRAKE,vct,Extra,vct_Extra,brake_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,"Brake vans gave extra braking power to allow trains to run at higher speed, and also gave a place for a guard to look after the train from the rear.",,{YELLOW}Speed bonus for slow wagons{},"{BLACK}Length: {GOLD}0.3 tiles{}{YELLOW}Speed bonus for slow wagons{}{SILVER}Brake vans gave extra braking power to allow trains to run at higher speed, and also gave a place for a guard to look after the train from the rear.",
Toad 20t brake van,toad_20t_brake_van,602,,1087,FEAT_TRAINS,wagon,brake,RAIL,1894,,1970,,,,,,,,,,,20,,,,,70,112,,,7.3,11,,,0,102x0x0,6,,"2,2,2",,,,,,,,,,30,84,,,14,0,0,1.00,0,1,0.4,8,29,$500,$79,,,,,,,,,7,,,Brakevan,BRAKE,vct,Extra,vct_Extra,brake_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"The Great Western Railway standardised brake van designs from 1894. The distinctive design includes an open ""veranda"" at the back of the vehicle.",,{YELLOW}Speed bonus for slow wagons{},"{BLACK}Length: {GOLD}0.4 tiles{}{YELLOW}Speed bonus for slow wagons{}{SILVER}The Great Western Railway standardised brake van designs from 1894. The distinctive design includes an open ""veranda"" at the back of the vehicle.",
Standard 20t brake van,standard_20t_brake_van,604,,1088,FEAT_TRAINS,wagon,brake,RAIL,1941,,1970,,,,,,,,,,,20,,,,,70,112,,,7.3,11,,,0,102x0x0,6,,"2,2,2",,,,,,,,,,30,37,,,14,0,0,0.95,0,1,0.4,7,27,$438,$74,,,,,,,,,8,,,Brakevan,BRAKE,big4,Extra,big4_Extra,brake_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,"BR inherited a large number of brake vans from the Big Four, but quickly set about introducing their own standard model based on 1940s LNER practice.",,{YELLOW}Speed bonus for slow wagons{},"{BLACK}Length: {GOLD}0.4 tiles{}{YELLOW}Speed bonus for slow wagons{}{SILVER}BR inherited a large number of brake vans from the Big Four, but quickly set about introducing their own standard model based on 1940s LNER practice.",
1 Horse,horse,149,,1,FEAT_TRAINS,horses,horses,PLATEWAY,1700,,1870,,5,,,,,,,,,1,,,3,0.30,18,29,,,,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,1,,12,178,-13,-3,3.6,0.025,0.15,1.00,0,0.5,0.5,1,1,$781,$81,,,,,,,,,1,,,,,early,Mixed Traffic,early_Mixed Traffic,horses_PLATEWAY,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Grass and hay,,"Most early industrial railways used two sources of power: horses and gravity. Often horses would ride downhill in dandy wagons, to save their energy for pulling the train uphill.",,,"{BLACK}Powered by: {GOLD}Grass and hay {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Most early industrial railways used two sources of power: horses and gravity. Often horses would ride downhill in dandy wagons, to save their energy for pulling the train uphill.",
2 Horses,horses,150,,2,FEAT_TRAINS,horses,horses,PLATEWAY,1700,,1870,,10,,,,,,,,,2,,,6,0.30,18,29,,,,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,1,,12,178,-12,-2,3.6,0.05,0.3,1.00,0,0.5,0.5,2,2,"$1,563",$163,,,,,,,,,1,,,,,early,Mixed Traffic,early_Mixed Traffic,horses_PLATEWAY,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Grass and hay,,The power of a horse-drawn train can easily be doubled by the expedient addition of a second horse.,,,{BLACK}Powered by: {GOLD}Grass and hay {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}The power of a horse-drawn train can easily be doubled by the expedient addition of a second horse.,
"""Puffing Billy""",puffing_billy,151,,3,FEAT_TRAINS,locomotive,steam,PLATEWAY,1813,,1862,,15,,9,36,2,50,61,1.44,31.96022727,4,3,,7,0.10,20,32,,,,6,,,0,60x0x0,4,billy_tender,"1,2,1,1,2,1",,,,,,,,,,28,57,-35,-12,4,0.075,0.35,1.00,0,1.15,1.7,6,6,"$4,688",$488,,,,,,,,,3,,,,,early,Mixed Traffic,early_Mixed Traffic,steam_PLATEWAY,{BLACK}Length: {GOLD}0.5 tiles{},{BLACK}Powered by: {GOLD}Steam,,"Puffing Billy was the first steam locomotive to operate by the adhesion of the wheels alone, all previous locomotives using a rack by the railside. The real version was very slow, capable only of walking speeds.",,,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Puffing Billy was the first steam locomotive to operate by the adhesion of the wheels alone, all previous locomotives using a rack by the railside. The real version was very slow, capable only of walking speeds.",
