name,id,numeric_id,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,brake_text,additional_text,has_aged_variant
LMS Beyer Garratt,lms_beyer_garratt,1212,19,FEAT_TRAINS,multiple_unit,steam,RAIL,1927,,1958,3,2000,,18.5,26,4,190,127,1.72,1551.410728,148,,5,203,0.14,50,80,,,10,10,,,,102x0x0,6,,"2,2,2",,,,"lms_beyer_garratt,lms_beyer_garratt_mid,lms_beyer_garratt_rear",,"1,1,1",,"1,0,1",,26,39,,,10,10,10.15,0.96,0,1.15,1.275,52,109,"$40,625","$8,856",,,1,,,,"21,22",,5,,,,big4,Freight,big4_Freight,steam_RAIL,{BLACK}Length: {GOLD}1.2 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The LMS Beyer Garratt was the most-produced Garratt type locomotive, designed for hauling heavy freight. While they suffered from poor fuel efficiency and high maintenance requirements, they survived in service to the late 1950s.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}1.2 tiles{}{SILVER}The LMS Beyer Garratt was the most-produced Garratt type locomotive, designed for hauling heavy freight. While they suffered from poor fuel efficiency and high maintenance requirements, they survived in service to the late 1950s.",
LNER Raven A2,lner_raven_a2,1221,-1,,na,steam,RAIL,1922,1924,,,,,,,,,,,,,,,119,,,0,,,,,,,,0x0x0,0,,na,,,,,,,,1,,30,,,,0,0,5.95,0.97,0,1.15,1.7,20,43,"$15,625","$3,494",,,,,,,,,8,,,,edw,,edw_,steam_RAIL,,{BLACK}Powered by: {GOLD}Steam,,,,{BLACK}Powered by: {GOLD}Steam {}{SILVER},
LNER Thompson B1,lner_thompson_b1,1421,20,FEAT_TRAINS,locomotive,steam,RAIL,1942,,1967,,1700,,20,26,2,225,198,1.88,1669.789652,72,,,119,0.17,85,136,,,18.7,14,,,,136x0x0,8,lner_tender,"2,4,2,2,1,2",,,,,,,,1,,31,33,,,17,8.5,5.95,0.94,0,1.15,1.7,71,110,"$55,469","$8,938",,,,,,,,,7,,,,big4,Mixed Traffic,big4_Mixed Traffic,steam_RAIL,{BLACK}Length: {GOLD}0.9 tiles{},{BLACK}Powered by: {GOLD}Steam,,"LNER's B2 was a mixed traffic locomotive, the early examples of which were named after breeds of antelope, with 61018 ""Gnu"" having the record for shortest name given to a British locomotive. ",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.9 tiles{}{SILVER}LNER's B2 was a mixed traffic locomotive, the early examples of which were named after breeds of antelope, with 61018 ""Gnu"" having the record for shortest name given to a British locomotive. ",
"Brown, Boverie & Cie 18000",bbc_18000,1491,21,FEAT_TRAINS,locomotive,gas_turbine,RAIL,1949,,1964,,2500,,,,,,,,,117,,,140,0.12,90,144,,,,18,,,,186x0x0,11,,"4,3,4",,,,,,,,,,22,23,9,2,18,12.5,7,0.93,0,1,2,100,115,"$78,125","$9,344",,,,,,,,,6,,,,ebr,Freight,ebr_Freight,gas_turbine_RAIL,{BLACK}Length: {GOLD}0.7 tiles{},{BLACK}Powered by: {GOLD}Gas Turbine,,"Originally ordered by the GWR, the 18000 used a gas turbine to match the power output of the King Class. This resulted in it being unreliable and expensive to run.",,"{BLACK}Powered by: {GOLD}Gas Turbine {}{BLACK}Length: {GOLD}0.7 tiles{}{SILVER}Originally ordered by the GWR, the 18000 used a gas turbine to match the power output of the King Class. This resulted in it being unreliable and expensive to run.",
BR Class 03,br_class_03,1571,22,FEAT_TRAINS,locomotive,diesel,RAIL,1957,1961,1993,,200,,,,,,,,,30,,,70,0.23,28,45,,,8,9.5,,,,102x0x0,6,,"2,2,2",,,,,,,,1,,40,44,,,5.6,1,3.5,0.92,0,1,2,32,43,"$25,000","$3,494",,,,,,,,,8,,,,dsl,Cheap,dsl_Cheap,diesel_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},{BLACK}Powered by: {GOLD}Diesel,,"The Class 03 is a diesel-mechanical shunter, with a five speed manual gearbox driven through a fluid coupling. They were most useful in areas where the Class 08 was too large and heavy to operate.",,"{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}The Class 03 is a diesel-mechanical shunter, with a five speed manual gearbox driven through a fluid coupling. They were most useful in areas where the Class 08 was too large and heavy to operate.",
"Brush Class 53 ""Falcon""",brush_falcon,2611,23,FEAT_TRAINS,locomotive,diesel,RAIL,1961,,1978,,2880,,,,,,,,,117,,,266,0.23,100,160,,,20.98,20.98,2.69,3.91,,198x40x58,12,,"4,4,4",,,,,,,,,,22,25,2,3,20,14.4,13.3,0.92,0,1,2,124,131,"$96,875","$10,644",,,,,,,,,6,,,,dsl,Freight,dsl_Freight,diesel_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Diesel,,"Brush's ""Falcon"" was a prototype for a new generation of Type 4 locomotives, but advances in single-engined diesel made the Falcon with its two Maybach diesels obsolete at the point of introduction.",,"{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}Brush's ""Falcon"" was a prototype for a new generation of Type 4 locomotives, but advances in single-engined diesel made the Falcon with its two Maybach diesels obsolete at the point of introduction.",
"Brush HS4000 ""Kestrel""",brush_kestrel,2671,24,FEAT_TRAINS,locomotive,diesel,RAIL,1967,,1982,,4000,,,,,,,,,126,,,270,0.21,110,176,,,20.27,20.27,2.69,3.91,,198x40x58,12,,"4,4,4",,,,,,,,,,21,23,,2,22,20,13.5,0.91,0,1,2,141,147,"$110,156","$11,944",,,,,,,,,6,,,,dsl,Freight,dsl_Freight,diesel_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Diesel,,"The Brush ""Kestrel"" was a prototype high speed diesel locomotive. After a brief period of service in the UK it was sold to the Soviet Union, where it was re-gauged and used for testing.",,"{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Brush ""Kestrel"" was a prototype high speed diesel locomotive. After a brief period of service in the UK it was sold to the Soviet Union, where it was re-gauged and used for testing.",
BREL Mk2 DBSO,brel_dbso,2791,500,FEAT_TRAINS,locomotive,none,RAIL,1979,,,,50,,,,,,,,,33,,5,5,0.02,100,160,,,20.12,20.12,,,36,198x0x0,12,,"4,4,4",,,,,,,,,,33,,-35,-52,20,0.25,0.25,0.89,1.2,0.85,2.3,15,19,"$11,719","$1,544",1,1,,,,,,,7,,Passengers,PASS,lbr,Express (Electric),lbr_Express (Electric),none_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},,,The DBSO is a driving trailer built from a converted Mk2F carriage. They were first used with Class 47 locomotives for a push-pull service that could be driven from either end.,,{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The DBSO is a driving trailer built from a converted Mk2F carriage. They were first used with Class 47 locomotives for a push-pull service that could be driven from either end.,
CAF Mk5A DVT,passenger_coach_mk5a_dvt,2171,501,FEAT_TRAINS,locomotive,none,RAIL,2017,,,,50,,,,,,,,,40,,5,5,0.01,125,200,,,23,23,,,57,214x0x0,13,,"4,5,4",,,,,,,,,,30,,-35,-57,25,0.25,0.25,0.84,1.9,0.85,2.3,20,25,"$15,625","$2,031",1,1,,,,,,,1,222,Passengers,PASS,mod,Express (Electric),mod_Express (Electric),none_RAIL,{BLACK}Length: {GOLD}0.9 tiles{},,,"Mark 5A carriage sets include a driving van trailer, enabling loco-hauled trains to be driven from both ends.",{YELLOW}20% Bonus for long distance travel{},"{BLACK}Length: {GOLD}0.9 tiles{}{YELLOW}20% Bonus for long distance travel{}{SILVER}Mark 5A carriage sets include a driving van trailer, enabling loco-hauled trains to be driven from both ends.",
Cartic,cartic,,-1,,na,wagon,RAIL,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0x0x0,0,,na,,,,,,,,,,,,,,0,0,0,1.00,0,1,0.45,2,25,"$1,563","$2,031",,,,,,,,,7,,,,dsl,DMU,dsl_DMU,wagon_RAIL,,,,,,{SILVER},
Cravens Class 105,class_105,3562,25,FEAT_TRAINS,multiple_unit,diesel,RAIL,1956,1959,1988,2,300,,,,,,,,,61,,5,65,0.11,70,112,,,17.53,17.53,,3.84,54,164x0x57,10,,"4,2,4",,,,"class_105,class_105_rev",,"1,1",,,,45,45,-13,-22,14,1.5,3.25,0.93,3.6,1,1.5,23,57,"$17,969","$4,631",,,,,,,,,11,185,Passengers,PASS,dsl,DMU,dsl_DMU,diesel_RAIL,{BLACK}Length: {GOLD}1.3 tiles{},{BLACK}Powered by: {GOLD}Diesel,{BLACK}Cars: {GOLD}2,"The Class 105 had a long and hard life on British Railways, mostly around the Eastern Region. Sadly this meant few survived in a viable condition for preservation.",,"{BLACK}Powered by: {GOLD}Diesel {BLACK}Cars: {GOLD}2{}{BLACK}Length: {GOLD}1.3 tiles{}{SILVER}The Class 105 had a long and hard life on British Railways, mostly around the Eastern Region. Sadly this meant few survived in a viable condition for preservation.",
Pressed Steel Class 117,class_117,3592,26,FEAT_TRAINS,multiple_unit,diesel,RAIL,1959,1961,1999,3,600,,,,,,,,,103.7,,6,83,0.08,70,112,,,19.5,19.5,,3.77,60,186x0x56,11,,"4,3,4",,,,"class_117,class_117_mid,class_117_rev",,"1,1,1",,,,42,48,-10,-15,14,3,4.15,0.92,6,1,1.5,38,70,"$29,688","$5,688",,,,,,,,,5,,Passengers,PASS,dsl,DMU,dsl_DMU,diesel_RAIL,{BLACK}Length: {GOLD}2.1 tiles{},{BLACK}Powered by: {GOLD}Diesel,{BLACK}Cars: {GOLD}3,"The Class 117 was built under licence by Pressed Steel, being a variant of the Class 116 built by BRCW Derby.",,"{BLACK}Powered by: {GOLD}Diesel {BLACK}Cars: {GOLD}3{}{BLACK}Length: {GOLD}2.1 tiles{}{SILVER}The Class 117 was built under licence by Pressed Steel, being a variant of the Class 116 built by BRCW Derby.",
SR 4DD Double Decker,sr_4dd,3491,27,FEAT_TRAINS,multiple_unit,electric,THIRD_RAIL,1949,,1971,4,900,,,,,,,,,135,,3,120,0.09,75,120,,,19.6,19.6,2.82,,69,186x42x0,11,,"4,3,4",,,,"sr_4dd,sr_4dd_mid,sr_4dd_mid,sr_4dd_rear",,"1,1,0,1",,,,23,30,-10,-15,15,4.5,6,0.93,9.2,0.85,1.725,63,72,"$49,219","$5,850",,,,,,,,,8,165,Passengers,PASS,ebr,DMU,ebr_DMU,electric_THIRD_RAIL,{BLACK}Length: {GOLD}2.8 tiles{},{BLACK}Powered by: {GOLD}750V DC,{BLACK}Cars: {GOLD}4,"SR's 4DD was an experiment to see if double deck multiple units could increase capacity. The internal layout was compromised by the British loading gauge, and it was slow to load at stations.",{YELLOW}10% Penalty for long distance travel{},"{BLACK}Powered by: {GOLD}750V DC {BLACK}Cars: {GOLD}4{}{BLACK}Length: {GOLD}2.8 tiles{}{YELLOW}10% Penalty for long distance travel{}{SILVER}SR's 4DD was an experiment to see if double deck multiple units could increase capacity. The internal layout was compromised by the British loading gauge, and it was slow to load at stations.",
GRC&W Class 128 Parcel Van,class_128,3591,28,FEAT_TRAINS,multiple_unit,diesel,RAIL,1959,,1991,1,460,,,,,,,,,41,,6,65,0.16,70,112,,1,19.66,19.66,,3.77,72,198x0x56,12,,"4,4,4",,,,class_128,,1,,,,45,40,-10,-15,14,2.3,3.25,0.92,2.4,1,1.5,29,58,"$22,656","$4,713",,,,,,,,,4,185,,MAIL,dsl,DMU,dsl_DMU,diesel_RAIL,{BLACK}Length: {GOLD}0.8 tiles{},{BLACK}Powered by: {GOLD}Diesel,,The Class 128 was built specifically for carrying parcels by the Gloucester Railway Carriage and Wagon Company.,,{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.8 tiles{}{SILVER}The Class 128 was built specifically for carrying parcels by the Gloucester Railway Carriage and Wagon Company.,
"Siemens Class 185 ""Desiro""",siemens_185_desiro,4051,29,FEAT_TRAINS,multiple_unit,diesel,RAIL,2005,2006,,3,2250,,,,,,,,,169,,5,185,0.11,100,160,,,20.4,20.4,2.8,,60,198x42x0,12,,"4,4,4",4,,,"siemens_185_desiro,siemens_185_desiro_mid,siemens_185_desiro_rear",,"1,1,1",,,,28,,-12,-30,20,11.25,9.25,0.86,6,1,1.5,51,104,"$39,844","$8,450",,,,,,,,,3,185,Passengers,PASS,mod,EMU,mod_EMU,diesel_RAIL,{BLACK}Length: {GOLD}2.3 tiles{},{BLACK}Powered by: {GOLD}Diesel,{BLACK}Cars: {GOLD}3,"The Class 185 is a diesel version of the Siemens Desiro family. Each car has its own 6 cylinder engine, giving the unit high acceleration.",,"{BLACK}Powered by: {GOLD}Diesel {BLACK}Cars: {GOLD}3{}{BLACK}Length: {GOLD}2.3 tiles{}{SILVER}The Class 185 is a diesel version of the Siemens Desiro family. Each car has its own 6 cylinder engine, giving the unit high acceleration.",
"Bombardier Class 730/2 ""Aventra""",class_730_aventra,4231,30,FEAT_TRAINS,multiple_unit,electric,ELRL,2023,,,5,1800,,,,,,,,,250,,5,190,0.08,110,176,,,22.7,22.7,,,81,214x0x0,13,,"4,5,4",4,,,"class_730_aventra,class_730_aventra_mid_1,class_730_aventra_mid_2,class_730_aventra_power,class_730_aventra_rear",,"1,1,1,1,1",,,,31,,-12,-30,22,9,9.5,0.84,13.5,0.85,2.3,113,94,"$88,281","$7,638",,,,,,,,,11,185,Passengers,PASS,mod,EMU,mod_EMU,electric_ELRL,{BLACK}Length: {GOLD}4.1 tiles{},{BLACK}Powered by: {GOLD}25kV AC,{BLACK}Cars: {GOLD}5,"The 730/2 is the longer and faster variant of the Class 730 units built for West Midlands Trains, serving on their London Northwestern Railway routes over the West Coast Main Line.",,"{BLACK}Powered by: {GOLD}25kV AC {BLACK}Cars: {GOLD}5{}{BLACK}Length: {GOLD}4.1 tiles{}{SILVER}The 730/2 is the longer and faster variant of the Class 730 units built for West Midlands Trains, serving on their London Northwestern Railway routes over the West Coast Main Line.",
Metropolitan-Vickers Bo-Bo Locomotive,metrovick_locomotive,706,-1,,na,tube,RAIL,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0x0x0,0,,na,,,,,,,,,,30,,,,0,0,0,1.00,0,0.9,1.6,8,22,"$6,250","$1,788",,,,,,,,,4,,,,dsl,,dsl_,tube_RAIL,,,,,,{SILVER},
LU Q Stock,lu_q_stock,710,-1,,na,tube,RAIL,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0x0x0,0,,na,,,,,,,,,,30,,,,0,0,0,1.00,0,0.9,1.6,8,22,"$6,250","$1,788",,,,,,,,,6,120,,,vct,LU,vct_LU,tube_RAIL,,,,,{YELLOW}35% Penalty for long distance travel{},{YELLOW}35% Penalty for long distance travel{}{SILVER},
LOR Electric Units,lor_electric,718,-1,,na,na,THIRD_RAIL,1893,1896,1956,2,120,,,,,,,,,10,,7,30,0.30,35,56,,,14,14,2.59,,57,136x38x0,8,,"2,4,2",,,,"lor_electric,lor_electric_rear",,"1,1",,,,25,71,,,7,0.6,1.5,1.00,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,2,,,PASS,vct,EMU,vct_EMU,na_THIRD_RAIL,{BLACK}Length: {GOLD}1.0 tiles{},#N/A,{BLACK}Cars: {GOLD}2,"These lightweight multiple units were built for the Liverpool Overhead Railway, a since closed elevated railway operating around the Liverpool docks.",,#N/A,
LU 1983 Stock,lu_1983_stock,734,-1,,na,tube,RAIL,1983,,,,,,,,,,,,,,,,,,,0,,,,,,,,0x0x0,0,,na,,,,,,,,,,30,,,,0,0,0,0.89,0,0.9,1.6,7,19,"$5,469","$1,544",,,,,,,,,10,120,,PASS,lbr,LU,lbr_LU,tube_RAIL,,,,,{YELLOW}35% Penalty for long distance travel{},{YELLOW}35% Penalty for long distance travel{}{SILVER},
"GEC-Alsthom Class 374 ""Eurostar e320""",eurostar_e320,714,-1,,na,electric,ELRL,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0x0x0,0,,na,,,,,,,,,,30,,,,0,0,0,1.00,0,0.85,2.3,12,21,"$9,375","$1,706",,,,,,,,,8,,,,#N/A,,#N/A,electric_ELRL,,{BLACK}Powered by: {GOLD}25kV AC,,,,{BLACK}Powered by: {GOLD}25kV AC {}{SILVER},
Pony,pony,1,2000,FEAT_TRAINS,horses,horses,NARROW_GAUGE,1800,,1880,,5,,,,,,,,,1,,,4,0.40,15,24,,,,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,1,,14,88,-13,-3,3,0.025,0.2,1.00,0,0.5,0.5,1,1,$781,$81,,,,,,,,,1,,,,early,Mixed Traffic,early_Mixed Traffic,horses_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Grass and hay,,A smaller horse for a smaller railway.,,{BLACK}Powered by: {GOLD}Grass and hay {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}A smaller horse for a smaller railway.,
Trevithick Locomotive,trevithick_locomotive,2,2001,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1804,,1840,,10,,8.6,16,1,160,88,0.7,29.88282828,5,,5,12,0.24,14,22,,,5.5,8,,,0,82x0x0,5,trevithick_tender,"2,1,2,1,1,1",,,,,,,,1,,28,44,-34,-13,2.8,0.05,0.6,1.00,0,1.15,1.7,3,5,"$2,344",$406,,,,,,,,,2,,,,early,Cheap,early_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.5 tiles{},{BLACK}Powered by: {GOLD}Steam,,"Trevithick's ""Pen-Y-Darren"" locomotive was built for a experimental bet that one of Trevithick's stationary engines could pull a train were it mounted on wheels. While the bet was won, it cracked rails intended only for horse-drawn wagons and was returned to service as a stationary engine afterward.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}Trevithick's ""Pen-Y-Darren"" locomotive was built for a experimental bet that one of Trevithick's stationary engines could pull a train were it mounted on wheels. While the bet was won, it cracked rails intended only for horse-drawn wagons and was returned to service as a stationary engine afterward.",
"George England ""Princess""",princess,4,2002,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1863,,1946,,90,,8.25,12,2,160,165,0.61,77.76639344,15,,5,29,0.19,23,37,,,5.5,6,,,0,66x0x0,4,princess_tender,"1,2,1,1,1,1",,,,,,,,1,,250,91,-5,-3,4.6,0.45,1.45,1.00,0,1.15,1.7,19,41,"$14,844","$3,331",,,,,,,,,9,,,,vct,Cheap,vct_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.5 tiles{},{BLACK}Powered by: {GOLD}Steam,,"""Princess"" was the first locomotive on the Ffestiniog Railway, going through multiple rebuilds and serving on the railway until its eventual closure in 1946.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}""Princess"" was the first locomotive on the Ffestiniog Railway, going through multiple rebuilds and serving on the railway until its eventual closure in 1946.",
"Fletcher Jennings ""Talyllyn""",talyllyn,5,2003,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1864,,1945,,110,,8.6,16,2,160,156,0.7,106.7243867,13,,5,26,0.20,25,40,,,5.5,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,1,,250,89,-5,-3,5,0.55,1.3,1.00,0,1.15,1.7,20,42,"$15,625","$3,413",,,,,,,,,12,,,,vct,Cheap,vct_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Steam,,"""Talyllyn"" was delivered to the Talyllyn railway as an 0-4-0, but converted to 0-4-2 after a few years to improve riding quality. It was retired in 1945, but refurbished in the late 1950s and returned to preservation service.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}""Talyllyn"" was delivered to the Talyllyn railway as an 0-4-0, but converted to 0-4-2 after a few years to improve riding quality. It was retired in 1945, but refurbished in the late 1950s and returned to preservation service.",
"Fletcher Jennings ""Dolgoch""",dolgoch,10,2004,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1866,,1945,,85,,7.6,16,2,150,156,0.7,78.13852814,10,,5,18,0.18,25,40,,,5.5,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,1,,250,87,-5,-6,5,0.425,0.9,1.00,0,1.15,1.7,16,41,"$12,500","$3,331",,,,,,,,,11,,,,vct,Cheap,vct_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Steam,,"""Dolgoch"" was the second locomotive built for the Talyllyn railway. The heavier and more powerful ""Talyllyn"" was used more often by the railway, meaning ""Dolgoch"" was in better condition when preservation began and was the sole running locomotive at first.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}""Dolgoch"" was the second locomotive built for the Talyllyn railway. The heavier and more powerful ""Talyllyn"" was used more often by the railway, meaning ""Dolgoch"" was in better condition when preservation began and was the sole running locomotive at first.",
Double Fairlie,double_fairlie,12,2005,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1869,,,,275,,8.25,13,4,160,219,0.7,223.4375,10,,5,38,0.38,35,56,,,,12,,,0,120x0x0,7,,"2,3,2",,,,,,,,1,,250,,-5,-6,7,1.375,1.9,1.00,0,1.15,1.7,24,52,"$18,750","$4,225",,,,,,,,,11,,,,vct,Cheap,vct_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.5 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The double Fairlie design is iconic of the Ffestiniog Railway. After the success of the first, ""Little Wonder"", the railway continued to build Fairlie locomotives under licence. This continues into modern times with the latest, ""James Spooner II"" due for completion in 2021.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.5 tiles{}{SILVER}The double Fairlie design is iconic of the Ffestiniog Railway. After the success of the first, ""Little Wonder"", the railway continued to build Fairlie locomotives under licence. This continues into modern times with the latest, ""James Spooner II"" due for completion in 2021.",
"Hunslet 0-4-0ST ""Alice""",hunslet_ng,15,2006,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1903,,1960,,55,,7,10,2,160,188,0.7,53.03030303,7,,5,12,0.17,30,48,,,4,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,1,,250,65,-5,-5,6,0.275,0.6,1.00,0,1.15,1.7,18,42,"$14,063","$3,413",,,,,,,,,10,,,,edw,Cheap,edw_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Steam,,"These small Hunslet tank engines were used as quarry locomotives. ""Alice"" worked at Dinorwic, being used as a source of spare parts afterward, before being restored in the late '80s and early '90s and now running on the Bala Lake Railway.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}These small Hunslet tank engines were used as quarry locomotives. ""Alice"" worked at Dinorwic, being used as a source of spare parts afterward, before being restored in the late '80s and early '90s and now running on the Bala Lake Railway.",
Hudswell Clarke 4-8-0,hudswell_clarke,20,-1,,na,steam,NARROW_GAUGE,1903,,1951,,,,,,,,0,0.7,0,,,5,,,,0,,,,,,,0,0x0x0,0,,na,,,,,,,,1,,250,56,-5,-5,0,0,0,1.00,0,1.15,1.7,4,25,"$3,125","$2,031",,,,,,,,,9,,,,edw,Cheap,edw_Cheap,steam_NARROW_GAUGE,,{BLACK}Powered by: {GOLD}Steam,,,,{BLACK}Powered by: {GOLD}Steam {}{SILVER},
Barclay Sons & Co. E Class,barclay_e_class,25,2007,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1918,,1955,,65,,6.8,10.75,2,160,219,0.6,62.76262626,8,,5,15,0.19,30,48,,,4.7,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,1,,250,45,-5,-7,6,0.325,0.75,0.98,0,1.15,1.7,16,42,"$12,500","$3,413",,,,,,,,,8,,,,edw,Cheap,edw_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Steam,,"The E Class is a small 0-4-0 well tank. One used by the RAF is preserved on the Talyllyn railway as ""Douglas"", named after second owner Douglas Abelson who donated it from his engineering firm.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}The E Class is a small 0-4-0 well tank. One used by the RAF is preserved on the Talyllyn railway as ""Douglas"", named after second owner Douglas Abelson who donated it from his engineering firm.",
GWR Rheidol Tank,gwr_rheidol_tank,30,2008,FEAT_TRAINS,locomotive,steam,NARROW_GAUGE,1923,,1968,,250,,11.5,17,2,165,153,1,204.9186198,25,,5,44,0.18,35,56,,,,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,1,,250,53,-10,-5,7,1.25,2.2,0.97,0,1.15,1.7,24,45,"$18,750","$3,656",,,,,,,,,7,,,,big4,Cheap,big4_Cheap,steam_NARROW_GAUGE,{BLACK}Length: {GOLD}0.4 tiles{},{BLACK}Powered by: {GOLD}Steam,,"Charles Collett designed these tank locomotives to replace worn-out engines on the Vale of Rheidol line. They became the last steam locomotives running on British Railways, up until the line became a heritage railway in 1989.",,"{BLACK}Powered by: {GOLD}Steam {}{BLACK}Length: {GOLD}0.4 tiles{}{SILVER}Charles Collett designed these tank locomotives to replace worn-out engines on the Vale of Rheidol line. They became the last steam locomotives running on British Railways, up until the line became a heritage railway in 1989.",
Ruston and Hornsby 33/40HP,ruston_type_33,35,-1,,na,diesel,NARROW_GAUGE,1940,,1980,,40,,,,,,0,0.7,0,,,5,,,,0,,,,,,,0,0x0x0,0,,na,,,,,,,,1,,250,48,-5,-2,0,0.2,0,0.95,0,1,2,9,19,"$7,031","$1,544",,,,,,,,,6,,,,big4,Cheap,big4_Cheap,diesel_NARROW_GAUGE,,{BLACK}Powered by: {GOLD}Diesel,,,,{BLACK}Powered by: {GOLD}Diesel {}{SILVER},
Ruston and Hornsby 44/48HP,ruston_midlander,40,2009,FEAT_TRAINS,locomotive,diesel,NARROW_GAUGE,1941,,1985,,50,,,,,,188,0.7,0,7,,5,22,0.31,30,48,,,,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,125,52,-9,-12,6,0.25,1.1,0.95,0,1,2,15,29,"$11,719","$2,356",,,,,,,,,5,,,,big4,Cheap,big4_Cheap,diesel_NARROW_GAUGE,{BLACK}Length: {GOLD}0.3 tiles{},{BLACK}Powered by: {GOLD}Diesel,,"Ruston and Hornsby built diesel locomotives for small industrial lines, which would often only need a small locomotive for hauling goods short distances.",,"{BLACK}Powered by: {GOLD}Diesel {}{BLACK}Length: {GOLD}0.3 tiles{}{SILVER}Ruston and Hornsby built diesel locomotives for small industrial lines, which would often only need a small locomotive for hauling goods short distances.",
